m,modified_iterations,intrinsic_L,modified_iterations_per_L,fixed_iterations,fixed_radius_L,fixed_iterations_per_L,theorem_constant
100000,570,315.614060378,1.80600319047,8409,6304.55532034,1.33379748019,387.1875
1000000,1482,999.386294361,1.48291007027,26644,19980,1.33353353353,387.1875
100000000,13484,9999.38629436,1.34848275715,266645,199980,1.33335833583,387.1875
