system,paths,total_elapsed_sec,avg_iterations,avg_min_dt,avg_median_dt,avg_min_radius,avg_radius_theory_gap,max_eta
katsura3,4,3.429960125,22.0,0.011475943380239157,0.04158340010281251,0.0015625,354828.7456514325,0.02625000001096055
katsura4,8,1.3014207899999999,36.0,0.0026638082711003086,0.0297685134264018,0.0008789062499999999,1.735666420290825e7,0.026570330905014542
katsura5,16,5.4560115,49.8125,0.0028317596022669526,0.014286703774674739,0.00040283203125000003,191397.72322669893,0.014654888566612248
katsura6,32,28.581160164999996,69.65625,0.0003189125412985115,0.00712207085768921,0.00012054443359374999,282501.4704783592,0.02890452787148497
random(2^3),8,1.01439946,26.25,0.01761759188277737,0.03689366746345431,0.00185546875,8.843216034727654e12,0.05343474289665463
random(2^4),16,5.308108543,41.125,0.0071365186899467565,0.020880653926356175,0.0005493164062500001,5.876470468581034e12,0.033552254164707716
random(2^5),32,34.841536162,57.5625,0.005065305074897035,0.01589256962194771,0.000506591796875,4.843759967347927e12,0.02573570017664639
random(2^6),64,105.58895637799998,54.015625,0.005746620072486723,0.016880903683546607,0.00034637451171875004,5.325530409766091e12,0.05358163801351538
