system,family,n,paths_total,path_index,iterations,min_dt,median_dt,max_dt,mean_dt,min_radius,median_radius,mean_radius_theory_gap,max_eta,min_r_theory
katsura3,katsura,3,4,1,8,0.09456661742636496,0.1111704462838756,0.17677664164376927,0.125,0.00625,0.00625,32171.38576926329,0.02014462587851901,0.0
katsura3,katsura,3,4,1,8,0.09456661742636496,0.1111704462838756,0.17677664164376927,0.125,0.00625,0.00625,32171.38576926329,0.02014462587851901,0.0
katsura3,katsura,3,4,2,21,0.008949966598425174,0.04343590763389139,0.10394049246396518,0.047619047619047616,0.0015625,0.003125,36232.53786928028,0.018399465826083296,0.0
katsura3,katsura,3,4,3,17,0.005086677073099732,0.05501902434249418,0.11150873632680397,0.058823529411764705,0.0015625,0.003125,37296.22751399283,0.022433335183268826,0.0
katsura3,katsura,3,4,4,27,0.0012602309867476317,0.027192665335768956,0.09847070046526919,0.03703703703703703,0.000390625,0.000390625,163320.14250283543,0.025026473704122695,0.0
katsura4,katsura,4,8,1,18,0.018510513499886933,0.04817403698655903,0.13615317108837666,0.05555555555555555,0.0015625,0.0015625,35442.899642832344,0.016138222201862357,0.0
katsura4,katsura,4,8,2,16,0.021340860732213692,0.043493995112377865,0.1555399604848312,0.0625,0.003125,0.003125,110876.15714665606,0.016138222201862357,0.0
katsura4,katsura,4,8,3,18,0.01864063290680358,0.04015963605974313,0.1493960350603155,0.05555555555555555,0.003125,0.003125,108850.05202455803,0.016945133311254645,0.0
katsura4,katsura,4,8,4,48,0.002258037477501543,0.009569231234016264,0.08985921108172962,0.020833333333333332,0.00078125,0.0015625,835280.5199497909,0.016945133311254645,0.0
katsura4,katsura,4,8,5,16,0.03288309557668804,0.052851197360884214,0.12106524895079857,0.0625,0.0015625,0.003125,69488.79374295456,0.016138222201862357,0.0
katsura4,katsura,4,8,6,46,0.0011108735032329818,0.005837599625884635,0.12209326754262177,0.021739130434782608,0.0015625,0.0015625,295899.265401542,0.016945133311254645,0.0
katsura4,katsura,4,8,7,17,0.03688540237565055,0.04902841373378698,0.10555850785282113,0.058823529411764705,0.0015625,0.003125,52583.20848682085,0.016945133311254645,0.0
katsura4,katsura,4,8,8,26,0.00209319531581638,0.03254982181403391,0.1157955936924493,0.038461538461538464,0.00078125,0.00078125,31825.891171570707,0.016945133311254645,0.0
katsura5,katsura,5,16,1,42,0.002558180416362352,0.02023867905248774,0.063808792004383,0.023809523809523808,0.000390625,0.000390625,29913.85514903281,0.007433653429081914,0.0
katsura5,katsura,5,16,2,16,0.008585871829464353,0.04662950129684974,0.14980284220260323,0.06249999999999999,0.0015625,0.003125,121255.32254656011,0.010848891465597577,0.0
katsura5,katsura,5,16,3,73,0.000974538370110329,0.007993041495634975,0.07407534253215889,0.0136986301369863,0.000390625,0.00078125,817851.4508967608,0.007257893606496892,0.0
katsura3,katsura,3,4,1,8,0.09456661742636496,0.1111704462838756,0.17677664164376927,0.125,0.00625,0.00625,32171.38576926329,0.02014462587851901,0.0
katsura3,katsura,3,4,1,8,0.09456661742636496,0.1111704462838756,0.17677664164376927,0.125,0.00625,0.00625,32171.38576926329,0.02014462587851901,0.0
katsura3,katsura,3,4,1,11,0.025114256222629416,0.08570421719788372,0.15747620450079283,0.09090909090909091,0.003125,0.003125,36776.47628941684,0.012500000004096675,0.0
katsura3,katsura,3,4,2,37,0.0029050999038827932,0.01566867034013304,0.10356758845676892,0.02702702702702703,0.0015625,0.0015625,319927.38347456494,0.013125000003857318,0.0
katsura3,katsura,3,4,3,12,0.05641472683609649,0.08316143218825435,0.12019659826778108,0.08333333333333333,0.003125,0.003125,45497.15587485041,0.01847901218280472,0.0
katsura3,katsura,3,4,4,17,0.0159779784540336,0.07055042118486472,0.10067372128666721,0.05882352941176469,0.0015625,0.0015625,40907.69947584947,0.01883709423027946,0.0
katsura4,katsura,4,8,1,17,0.00846786629324181,0.056036430996328476,0.12105306746125864,0.058823529411764705,0.0015625,0.0015625,28101.44118084993,0.008750000002996005,0.0
katsura4,katsura,4,8,2,16,0.023076969021049585,0.048507083172624005,0.15643519783552695,0.0625,0.003125,0.003125,160369.73774972645,0.017837285769316296,0.0
katsura4,katsura,4,8,3,18,0.006130023262956086,0.03718193991632203,0.1963425494452875,0.05555555555555555,0.003125,0.003125,161375.705054305,0.016141156756313405,0.0
katsura4,katsura,4,8,4,59,0.0012761121150780882,0.005597099345181849,0.0871013912227424,0.01694915254237288,0.00078125,0.00078125,191200.0220260687,0.008750000002996005,0.0
katsura4,katsura,4,8,5,13,0.04288241972798759,0.06861734407058234,0.13648775655629355,0.07692307692307693,0.003125,0.003125,91149.92482661706,0.014414499005964084,0.0
katsura4,katsura,4,8,6,26,0.009498605661131717,0.0242924516336357,0.1257353777999719,0.03846153846153846,0.0015625,0.003125,114315.60955184519,0.008750000002996005,0.0
katsura4,katsura,4,8,7,15,0.034534743746761146,0.05812142726054196,0.12936176074544495,0.06666666666666667,0.003125,0.003125,63158.075572064445,0.011219849433036864,0.0
katsura4,katsura,4,8,8,19,0.010379741226354112,0.049336029738621424,0.11201899485728711,0.05263157894736842,0.00078125,0.00078125,59779.07660351333,0.010285122766356136,0.0
katsura5,katsura,5,16,1,31,0.001964678046318613,0.033584158597863775,0.09160349581196602,0.03225806451612903,0.000390625,0.000390625,53961.2717449002,0.006562500002833853,0.0
