system,family,n,seed,paths_total,path_index,status,final_t,elapsed_sec,iterations,min_dt,median_dt,max_dt,mean_dt,min_radius,median_radius,mean_radius_theory_gap,max_eta,min_r_theory
katsura3,katsura,3,217337003,4,1,success,1.0,3.263538292,32,0.005771974402026349,0.01590741746745837,0.10456377372207701,0.03125,0.0015625,0.003125,641267.5228904573,0.01250000000538927,0.0
katsura3,katsura,3,217337003,4,2,success,1.0,0.120574333,14,0.035395076137971326,0.06478609272405272,0.13759461763574418,0.07142857142857142,0.003125,0.00625,100821.9036504949,0.02625000001096055,0.0
katsura3,katsura,3,217337003,4,3,success,1.0,0.018156417,17,0.0014743167914907929,0.05685663254932986,0.11923877629318895,0.058823529411764705,0.00078125,0.00625,215258.44661139688,0.02625000000778797,0.0
katsura3,katsura,3,217337003,4,4,success,1.0,0.027691083,25,0.003262406189468159,0.028783457670409067,0.10338831939089209,0.04,0.00078125,0.003125,461967.109453381,0.013125000005480275,0.0
katsura4,katsura,4,217337004,8,1,success,1.0,0.548053375,99,0.0003405543782840312,0.001227560106685143,0.1018313884628026,0.010101010101010104,0.000390625,0.0015625,1.3809948294146273e8,0.00840676973195827,0.0
katsura4,katsura,4,217337004,8,2,success,1.0,0.075122083,31,0.002262033495014946,0.026323080475428102,0.09769268112757253,0.03225806451612903,0.0015625,0.0015625,20825.264458035796,0.01782033089737192,0.0
katsura4,katsura,4,217337004,8,3,success,1.0,0.153462541,17,0.008436634318799818,0.05629793435468789,0.11551349570357788,0.058823529411764705,0.00078125,0.003125,76136.92194492284,0.0261905141146554,0.0
katsura4,katsura,4,217337004,8,4,success,1.0,0.06479125,31,0.002335906896311717,0.02450791938970684,0.09735147240671545,0.03225806451612903,0.00078125,0.0015625,16362.622282081773,0.01782033089737192,0.0
katsura4,katsura,4,217337004,8,5,success,1.0,0.147790166,30,0.000987096684251898,0.023993569216219375,0.0980388348170093,0.03333333333333333,0.000390625,0.003125,48118.29069144225,0.017857180774646764,0.0
katsura4,katsura,4,217337004,8,6,success,1.0,0.041277417,17,0.0013021680333105135,0.05624248704895505,0.11180506621613474,0.058823529411764705,0.0015625,0.003125,89961.37122920029,0.026570330905014542,0.0
katsura4,katsura,4,217337004,8,7,success,1.0,0.061910416,29,0.003160215521626153,0.02872266091475771,0.09948875319797154,0.03448275862068966,0.00078125,0.0015625,29249.358619261177,0.017857180774646764,0.0
katsura4,katsura,4,217337004,8,8,success,1.0,0.209013542,34,0.0024858568412033932,0.020832895904774287,0.09754147756851082,0.02941176470588235,0.00078125,0.0015625,473176.8525783438,0.008821439326657842,0.0
katsura5,katsura,5,217337005,16,1,success,1.0,0.593123083,80,0.00042417333288624664,0.004113164819507912,0.08676756937178624,0.0125,0.0001953125,0.00078125,9123.613135220783,0.008216309302766246,0.0
katsura5,katsura,5,217337005,16,2,success,1.0,0.256832,48,0.0007487000713294334,0.00908440586073178,0.10716437501827196,0.020833333333333332,0.0001953125,0.0015625,681949.6419124819,0.013125000005894515,0.0
katsura5,katsura,5,217337005,16,3,success,1.0,0.290910292,61,0.00012051641937929289,0.01247063705988584,0.07620866250944794,0.01639344262295082,0.000390625,0.000390625,16892.474992302607,0.013125000004298169,0.0
katsura5,katsura,5,217337005,16,4,success,1.0,0.181151791,26,0.00426027439549837,0.02636928785105786,0.12381882030113116,0.03846153846153845,0.000390625,0.003125,535809.6471171933,0.013125000005894515,0.0
katsura5,katsura,5,217337005,16,5,success,1.0,0.25290075,53,0.00043369223999423033,0.012168053668357432,0.0742937937636605,0.01886792452830189,0.00078125,0.00078125,76088.63969189858,0.013125000004298169,0.0
katsura5,katsura,5,217337005,16,6,success,1.0,0.28870175,61,0.0021955332394789336,0.005928600675743014,0.08945840621051135,0.01639344262295082,0.000390625,0.0015625,426797.00812993763,0.013159034821730317,0.0
katsura5,katsura,5,217337005,16,7,success,1.0,0.472219958,77,0.00012071561832998502,0.0025536803224622973,0.08161835493960908,0.012987012987012988,0.000390625,0.000390625,9985.605611849807,0.013125000004298169,0.0
katsura5,katsura,5,217337005,16,8,success,1.0,0.066401167,23,0.011408828773392998,0.03119183638764362,0.10588405949126792,0.043478260869565216,0.00078125,0.0015625,100162.3131654848,0.014654888566612248,0.0
katsura5,katsura,5,217337005,16,9,success,1.0,0.21266175,30,0.005378037752960443,0.024424101385915414,0.10287346417808862,0.03333333333333333,0.000390625,0.0015625,56790.09530990372,0.013125000004298169,0.0
katsura5,katsura,5,217337005,16,10,success,1.0,0.161613041,54,0.00025679209229345634,0.00824596083325077,0.09890131235557086,0.018518518518518517,0.0001953125,0.00078125,62451.28877748629,0.013125000005894515,0.0
katsura5,katsura,5,217337005,16,11,success,1.0,0.528366958,76,0.0003010635436376117,0.004740340911130143,0.0667657970674204,0.013157894736842108,0.0001953125,0.000390625,147398.9976809174,0.013125000004298169,0.0
katsura5,katsura,5,217337005,16,12,success,1.0,1.189346542,58,0.0003057286531355838,0.011490749259727696,0.06493589358892257,0.017241379310344827,0.000390625,0.000390625,18235.34608233106,0.013125000005894515,0.0
katsura5,katsura,5,217337005,16,13,success,1.0,0.106548542,23,0.009113221605124844,0.030981404602647408,0.10414293561115485,0.043478260869565216,0.000390625,0.003125,83405.77306093147,0.013125000004298169,0.0
katsura5,katsura,5,217337005,16,14,success,1.0,0.162595375,35,0.0041685812269960975,0.02206865619750903,0.10160375952403139,0.028571428571428564,0.000390625,0.0015625,45805.146605398375,0.013159034821730317,0.0
katsura5,katsura,5,217337005,16,15,success,1.0,0.537473042,56,0.00033219355984459575,0.005972735588623306,0.09111042960730037,0.017857142857142856,0.0001953125,0.00078125,264801.4417403818,0.013125000004298169,0.0
katsura5,katsura,5,217337005,16,16,success,1.0,0.155165459,36,0.005740101111989115,0.016783644970602293,0.10461118140034763,0.027777777777777773,0.00078125,0.0015625,526666.5386134632,0.007611971888836219,0.0
katsura6,katsura,6,217337006,32,1,success,1.0,1.221889375,77,0.0004056942870067352,0.0062465102534660245,0.08632670251446638,0.012987012987012984,9.765625e-5,0.0015625,3.716165423613359e6,0.010000000007571919,0.0
katsura6,katsura,6,217337006,32,2,success,1.0,0.55477475,71,0.0005502023402531561,0.006955381487050406,0.08868223554462985,0.01408450704225352,9.765625e-5,0.0015625,2.0324894294164144e6,0.01833333334533967,0.0
katsura6,katsura,6,217337006,32,3,success,1.0,0.46912075,59,0.0005765861392852514,0.009294864085870583,0.10106263891826961,0.01694915254237288,9.765625e-5,0.0015625,127248.19655168365,0.022995817212261477,0.0
katsura6,katsura,6,217337006,32,4,success,1.0,1.194507584,78,9.090846615231158e-5,0.003180299965979954,0.09378936740931819,0.01282051282051282,4.8828125e-5,0.000390625,61872.17037672553,0.022000000014407602,0.0
katsura6,katsura,6,217337006,32,5,success,1.0,1.364378125,48,0.0007236343750363036,0.0099160166860075,0.10229028675916776,0.020833333333333332,0.000390625,0.0015625,183962.62823292657,0.022995817212261477,0.0
katsura6,katsura,6,217337006,32,6,success,1.0,0.84608325,50,0.0007311603159715761,0.008766501747472719,0.10367457966641769,0.02,0.000390625,0.0015625,194928.765597681,0.02890452787148497,0.0
katsura6,katsura,6,217337006,32,7,success,1.0,0.494957959,64,0.00015268562501404636,0.0039097270858153114,0.08505394955618731,0.015625000000000003,4.8828125e-5,0.00078125,76542.29861086958,0.02759498065471377,0.0
katsura6,katsura,6,217337006,32,8,success,1.0,0.774877208,71,0.00012444364960303045,0.002897157408999511,0.08497987204984021,0.014084507042253518,2.44140625e-5,0.000390625,103326.50459628677,0.022000000014407602,0.0
katsura6,katsura,6,217337006,32,9,success,1.0,2.09176475,76,2.5873552659724385e-5,0.004980272360386694,0.10281705485947928,0.013157894736842105,2.44140625e-5,0.0015625,108879.29885741005,0.01833333334533967,0.0
katsura6,katsura,6,217337006,32,10,success,1.0,0.735105166,76,6.993310734068947e-5,0.004491281067442877,0.10797286698487292,0.013157894736842103,4.8828125e-5,0.0015625,315368.06296144373,0.022000000014407602,0.0
katsura6,katsura,6,217337006,32,11,success,1.0,0.840264791,88,2.5958777102267624e-5,0.005669890555295428,0.09180541236217367,0.011363636363636364,2.44140625e-5,0.00078125,56911.107146436785,0.02759498065471377,0.0
katsura6,katsura,6,217337006,32,12,success,1.0,0.754566167,87,7.337746943675646e-5,0.004820278191519211,0.08976222574627087,0.011494252873563216,4.8828125e-5,0.00078125,428676.83195309696,0.022000000014407602,0.0
katsura6,katsura,6,217337006,32,13,success,1.0,0.374399667,47,0.0006425725637877648,0.01553199452638719,0.06194220932868245,0.02127659574468085,0.0001953125,0.00078125,34620.441549310985,0.02759498065471377,0.0
katsura6,katsura,6,217337006,32,14,success,1.0,0.366489875,45,0.0006765171921578018,0.01678953622838514,0.06115177518492748,0.022222222222222223,0.0001953125,0.00078125,28631.263449123067,0.02890452787148497,0.0
katsura6,katsura,6,217337006,32,15,success,1.0,0.604073417,73,0.00031007634871953833,0.00584794532642674,0.0965913073275717,0.0136986301369863,9.765625e-5,0.00078125,85262.16822301439,0.02759498065471377,0.0
katsura6,katsura,6,217337006,32,16,success,1.0,0.465229208,70,0.0003075058444522448,0.00706387044563332,0.0908126179422405,0.014285714285714282,9.765625e-5,0.00078125,24162.35140697752,0.01833333334533967,0.0
katsura6,katsura,6,217337006,32,17,success,1.0,0.616376167,64,0.0006772707139327067,0.0064106590352489045,0.10967597801524871,0.015624999999999997,0.000390625,0.0015625,34481.31395756055,0.01833333334533967,0.0
katsura6,katsura,6,217337006,32,18,success,1.0,0.660554125,73,0.0006667337654022302,0.004313316425105243,0.11240004864044117,0.013698630136986304,0.000390625,0.0015625,39764.832955950966,0.02890452787148497,0.0
katsura6,katsura,6,217337006,32,19,success,1.0,1.366903292,63,0.00015205448286229517,0.003894385416664077,0.07329011538523697,0.015873015873015872,4.8828125e-5,0.00078125,44838.06819354472,0.02759498065471377,0.0
katsura6,katsura,6,217337006,32,20,success,1.0,1.50064975,78,8.882392621845131e-5,0.0017197096509044413,0.0726013754404666,0.012820512820512818,4.8828125e-5,0.0001953125,76953.29670311561,0.02890452787148497,0.0
katsura6,katsura,6,217337006,32,21,success,1.0,2.405792875,103,0.00034706060455737053,0.003949313220966566,0.08513992110997458,0.009708737864077673,9.765625e-5,0.00078125,342633.92198861856,0.022000000014407602,0.0
katsura6,katsura,6,217337006,32,22,success,1.0,1.692171708,93,0.0003655180240997796,0.005018507118975047,0.08239744794523492,0.010752688172043008,9.765625e-5,0.00078125,308482.2731011124,0.02890452787148497,0.0
katsura6,katsura,6,217337006,32,23,success,1.0,0.748150041,82,0.0002995214394454556,0.005235928143330393,0.08679040410113241,0.012195121951219513,9.765625e-5,0.00078125,50619.531295801906,0.022000000014407602,0.0
katsura6,katsura,6,217337006,32,24,success,1.0,0.835612375,93,0.00015973367720961587,0.0036553278736730587,0.08577559864730443,0.010752688172043012,4.8828125e-5,0.00078125,122452.29799505182,0.01833333334533967,0.0
katsura6,katsura,6,217337006,32,25,success,1.0,0.344946125,42,0.00038138339894100426,0.017343236108253952,0.06990660214829707,0.023809523809523808,0.0001953125,0.0015625,32494.186553757525,0.022000000014407602,0.0
katsura6,katsura,6,217337006,32,26,success,1.0,0.375935791,42,0.000690777485476229,0.01940149402010314,0.06809067155963565,0.023809523809523808,0.0001953125,0.0015625,67284.8624816416,0.02890452787148497,0.0
katsura6,katsura,6,217337006,32,27,success,1.0,0.486442541,67,0.0003558200638367035,0.006307741201222422,0.09148269469077358,0.014925373134328356,9.765625e-5,0.00078125,52569.452551458315,0.02759498065471377,0.0
katsura6,katsura,6,217337006,32,28,success,1.0,1.72208775,64,0.0003543736566461266,0.007795152273649316,0.09471451721164861,0.015624999999999998,9.765625e-5,0.00078125,27375.927066961234,0.02408710655957081,0.0
katsura6,katsura,6,217337006,32,29,success,1.0,0.889287416,67,3.8384279983654124e-5,0.005639763275402499,0.09326631337443722,0.014925373134328358,2.44140625e-5,0.00078125,28630.7222219498,0.022000000014407602,0.0
katsura6,katsura,6,217337006,32,30,success,1.0,0.565158875,65,5.3638008822983e-5,0.0073219971233492945,0.09276277188093708,0.015384615384615385,4.8828125e-5,0.00078125,6937.671637571142,0.02408710655957081,0.0
katsura6,katsura,6,217337006,32,31,success,1.0,0.686826542,75,4.553620075917205e-5,0.006822559173645014,0.10437659803526537,0.013333333333333334,2.44140625e-5,0.00078125,87665.12091107755,0.01833333334533967,0.0
katsura6,katsura,6,217337006,32,32,success,1.0,0.53178275,78,4.144153937939506e-5,0.006715649963422712,0.09977798477932957,0.01282051282051282,2.44140625e-5,0.00078125,137816.63314956316,0.011000000007203801,0.0
random(2^3),random_dense,3,217347003,8,1,success,1.0,0.033477084,15,0.0303361891469345,0.063322086970512,0.12344004507620075,0.06666666666666667,0.0015625,0.003125,89386.17411254885,0.018675391717387673,0.0
random(2^3),random_dense,3,217347003,8,2,success,1.0,0.025807209,13,0.04093750134819408,0.06582604173555229,0.17575412194568357,0.07692307692307693,0.003125,0.003125,1.7666004192339453e13,0.030659672038472124,1.088574932575425e-16
random(2^3),random_dense,3,217347003,8,3,success,1.0,0.434785125,55,0.002047461152626098,0.006043038310419047,0.132009068934926,0.018181818181818177,0.0015625,0.0015625,4.1756015249934204e12,0.03680889629374451,1.088574932575425e-16
